"","new_window","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","var_roll_belt","avg_pitch_belt","var_pitch_belt","avg_yaw_belt","var_yaw_belt","var_accel_arm","avg_roll_arm","var_roll_arm","avg_pitch_arm","var_pitch_arm","avg_yaw_arm","var_yaw_arm","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","var_yaw_dumbbell","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","var_roll_forearm","avg_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","var_yaw_forearm","classe"
"24","yes",5.587755,NA,NA,2.713152,NA,NA,-94.3,3,5.6,-94.4,3,5.6,0.1,0,0,0,1.5,0,8.1,0,-94.4,0,0,-128.4898,0.2551,21.4327,0.2339,-161,0,-1.05825,NA,NA,0.13832,NA,NA,22.3,-161,34,20.7,-161,34,1.6,0,0,-0.6209,-0.6149,NA,-0.096,0.1049,NA,-70.1,-84.3,-0.6,-71,-85.3,-0.6,0.96,1.02,0,37,0.0204,13.1942,0.0328,-70.5253,0.0568,-84.8053,0.0656,-0.368,-2.0402,NA,0.2113,-0.2117,NA,-63.7,-151,-0.4,-64,-152,-0.4,0.3,1,0,36,0,27.40204,0.21062,-63.89388,0.00559,-151.44898,0.25255,"A"
"52","yes",-0.99713,NA,NA,0.007518,NA,NA,-94.1,3,-1,-94.4,3,-1,0.3,0,0,0,1.4,0,7.9,0,-94.3,0.01,0,-129.6863,0.2196,20.0451,0.2017,-161.5882,0.2471,-1.46054,-1.94121,NA,0.20074,0.36953,NA,20.7,-161,34,19.4,-162,34,1.3,1,0,2.1593,1.1355,NA,-1.0112,0.7419,NA,-70,-83.9,2.2,-71.4,-85.3,2.2,1.41,1.39,0,37,0.0196,13.1455,0.0909,-70.4565,0.0722,-84.886,0.082,-0.6814,-1.302,NA,0.6098,0.0685,NA,-63.6,-149,-0.7,-63.9,-151,-0.7,0.3,2,0,36,0,26.18627,0.33161,-63.79412,0.01016,-150.03922,0.59843,"A"
"76","yes",7.51529,NA,NA,-3.031527,NA,NA,-94.1,3,7.5,-94.2,3,7.5,0.1,0,0,0,1.2,0,7.4,0,-94.1,0,0,-130.7826,0.1739,18.7435,0.1381,-162,0,-1.10021,NA,NA,-0.03359,NA,NA,19.4,-162,34,18.1,-162,34,1.3,0,0,0.3758,1.4197,NA,0.0809,0.1242,NA,-70,-83.6,0.4,-71.5,-85.4,0.4,1.43,1.8,0,37,0.0217,13.2357,0.1361,-70.7346,0.0783,-84.5852,0.1056,-0.2516,3.2626,NA,0.3672,1.9917,NA,-63.6,-147,-0.3,-63.9,-149,-0.3,0.3,2,0,36,0,24.65,0.24344,-63.75217,0.00611,-148.73913,0.28599,"A"
"165","yes",-2.121212,-1.29859,NA,1.044014,0.88139,NA,-93.8,4,-2.1,-93.8,3,-2.1,0,1,0,0.2,1,0,7.1,0,-93.8,0,0.0278,-134.9444,0.054,14.0083,0.0488,-164.6389,0.2373,-0.7285,-1.7352,36,0.7813,0.60377,-6,14.5,-164,34,13.8,-165,33,0.7,1,1,-1.3191,-1.0736,NA,-0.8085,0.1003,NA,35.2,-17.6,-1.3,-70.9,-99.8,-1.3,106.15,82.17,0,6,230.4278,71.65,1789.9732,-6.1339,1941.7003,-62.3643,541.8151,-0.0781,-0.9848,NA,-0.011,-1.036,NA,-63.4,-143,-0.1,-63.6,-144,-0.1,0.2,1,0,36,0,19.375,0.10421,-63.49722,0.00371,-143.27778,0.20635,"A"
"210","yes",-1.122273,19.810708,NA,-0.177846,-4.575081,NA,2.4,21,-1.1,0.8,20,-1.1,1.59,1,0,0,128.9,0.1,28.1,0,1.7,0.24,21.0222,-166.5869,1187.3854,-7.1253,25.2946,137.9933,776.052,18.71915,19.75148,19.81071,4.39449,-4.56524,-4.57508,15.9,146,25,-9.3,10,3,25.15,136,22,-0.6179,-0.4068,NA,-0.3438,-0.4131,NA,23.4,134.3,-0.6,1.1,99.3,-0.6,22.35,35.02,0,11,0.6545,-35.2699,68.0775,12.9422,37.1431,118.7156,62.6436,-1.3144,19.8107,NA,0.4102,-4.5751,NA,-0.2,107,-1.3,-0.9,106,-1.3,0.67,1,0,34,0.26768,82.12889,0.09665,-0.59022,0.05005,106.95556,0.04343,"A"
"241","yes",-0.668237,0.988872,NA,-0.638799,-1.717824,NA,2.7,21,-0.7,1.5,20,-0.7,1.17,1,0,0.2,128.9,0.1,27.9,0,2.3,0.12,0.1616,-4.307,4.4897,2.9778,32.5229,-25.0718,463.4656,-1.07679,-1.17642,3.65588,0.45981,-0.14758,0.34232,14.6,8.8,4,-4,-63.3,2,18.56,72.13,2,0.5776,2.976,NA,0.3351,-1.3408,NA,23.6,130.4,0.6,6,111,0.6,17.6,19.42,0,10,0.2514,-29.3231,17.2266,13.8775,15.5718,124.1809,15.0111,-1.3021,-0.2494,NA,-0.5589,-0.0673,NA,-0.2,109,-1.3,-2.7,107,-1.3,2.51,2,0,33,2.82612,80.06,1.37878,-1.2918,0.75537,108.14,0.36776,"A"
"314","yes",-0.684696,-0.605475,NA,-0.847382,1.192288,NA,1.2,21,-0.7,-2,20,-0.7,3.23,1,0,0.2,126.2,0.6,27.4,0.1,0.1,1.06,25.4043,-137.2604,681.4501,-54.6667,227.118,11.3142,716.5955,-1.397,3.59486,-0.67859,-0.01884,-2.06464,-0.6731,-32.8,32.6,46,-77.2,-78.7,29,44.4,111.3,17,1.2107,-0.7197,NA,0.7684,0.4106,NA,30.7,133.5,1.2,10.6,120.9,1.2,20.11,12.62,0,9,0.34,-23.4639,37.1478,18.1634,15.2658,126.5357,11.3248,-1.2273,0.7148,NA,0.2921,0.7837,NA,5.2,108,-1.2,3,105,-1.2,2.18,3,0,36,1.31738,86.38542,1.74255,4.07,0.44758,106,0.6383,"A"
"401","yes",-1.385691,44,NA,0.216158,-6.63325,NA,-0.7,20,-1.4,-2.1,19,-1.4,1.34,1,0,0,124.8,0.2,25.7,0,-1.4,0.17,30.1839,144.6136,45.3589,-11.7236,156.2395,17.8416,284.1212,-0.64101,-0.45042,-0.32889,-0.75988,0.65268,-0.82053,2.6,57.5,46,-38.5,-3,26,41.06,60.5,20,0.8744,-0.297,NA,-0.4791,-0.3561,NA,38,136.6,0.9,2.2,111.9,0.9,35.8,24.72,0,9,0.3996,-12.9177,172.858,24.3421,61.0067,125.9856,30.2838,-1.4844,4.4184,NA,-0.0982,2.3865,NA,86.9,168,-1.5,47.5,-153,-1.5,39.4,321,0,27,4.34408,-91.47727,6577.60412,68.16818,191.67896,-71.08409,6285.55718,"A"
"463","yes",-0.480396,-2.054174,NA,-0.207718,-0.152835,NA,-1.5,20,-0.5,-3,19,-0.5,1.48,1,0,0.3,123.6,0.2,26,0.1,-2.3,0.14,178.5063,121.5741,139.1925,-10.902,257.7193,61.9883,2209.8981,-1.07289,-1.43415,-1.2837,0.65705,-0.10319,0.16988,20.4,126,47,-26.4,-11.1,5,46.8,137.1,42,-0.2583,0.131,NA,0.3644,-0.719,NA,52.8,138.9,-0.3,11.7,103.4,-0.3,41.04,35.47,0,9,0.8456,-10.4132,149.4381,27.6816,78.3074,124.7996,72.3211,-0.5507,-1.9433,NA,-0.4035,0.0905,NA,79.8,167,-0.6,16.1,-174,-0.6,63.7,341,0,32,14.1443,-7.72037,14350.18241,53.0963,297.46678,-8.84444,13350.27157,"A"
"476","yes",-1.374453,-0.405888,NA,0.260148,-0.796589,NA,-2.1,20,-1.4,-4.2,18,-1.4,2.18,2,0,0.3,123.3,0.4,26.3,0.2,-3.2,0.55,68.3258,141.5405,31.033,11.5608,64.4277,29.0589,772.0798,-1.351,-1.36583,-1.47027,-0.33979,0.09469,-0.13694,21.3,74.2,46,-2.5,-10.9,20,23.82,85.1,26,2.9137,0.5003,NA,1.4437,-1.0674,NA,38,135,2.9,17.6,116.7,2.9,20.41,18.31,0,10,0.3634,-11.0964,96.8565,24.9154,17.4236,128.0307,20.7765,-1.4431,0.6125,NA,-0.3462,-1.4365,NA,81.4,172,-1.4,16.5,-174,-1.4,64.9,346,0,34,16.89189,56,10222.40944,55.14595,502.91366,48.80811,9566.14132,"A"
